GHO (CODE),ENDYEAR,COUNTRY (CODE),SEX (DISPLAY),Numeric
#indicator+code,#date+year+end,#country+code,#sex+name,#indicator+value+num
MDG_0000000001,1993,FRA,Female,5.30781
MDG_0000000001,1993,FRA,Male,7.06524
MDG_0000000001,1988,FRA,Female,6.69895
MDG_0000000001,1988,FRA,Male,8.99723
MDG_0000000001,1987,FRA,Both sexes,8.07421
MDG_0000000001,1987,FRA,Female,6.87751
MDG_0000000001,1982,FRA,Both sexes,9.46247
MDG_0000000001,1982,FRA,Female,8.09780
MDG_0000000001,1982,FRA,Male,10.76209
MDG_0000000001,1981,FRA,Both sexes,9.80552
MDG_0000000001,1977,FRA,Female,9.83492
MDG_0000000001,1977,FRA,Male,13.00178
MDG_0000000001,1976,FRA,Both sexes,11.89936
MDG_0000000001,1976,FRA,Female,10.25047
MDG_0000000001,1976,FRA,Male,13.46851
MDG_0000000001,1971,FRA,Both sexes,14.34638
MDG_0000000001,1971,FRA,Female,12.46110
MDG_0000000001,1971,FRA,Male,16.14021
MDG_0000000001,1970,FRA,Both sexes,15.06316
MDG_0000000001,1966,FRA,Male,20.04830
MDG_0000000001,1965,FRA,Both sexes,18.48734
MDG_0000000001,1965,FRA,Female,15.99464
MDG_0000000001,1965,FRA,Male,20.86001
MDG_0000000001,1960,FRA,Female,20.43989
MDG_0000000001,1960,FRA,Male,26.69267
MDG_0000000001,1959,FRA,Both sexes,25.14935
MDG_0000000001,1959,FRA,Female,21.77951
MDG_0000000001,1955,FRA,Male,37.52267
MDG_0000000001,1954,FRA,Both sexes,35.89559
MDG_0000000001,1954,FRA,Female,31.22058
MDG_0000000001,1954,FRA,Male,40.35192
MDG_0000000001,2017,FRA,Both sexes,3.40500
MDG_0000000001,2017,FRA,Male,3.73277
MDG_0000000001,2014,FRA,Both sexes,3.43904
MDG_0000000001,2014,FRA,Male,3.76884
MDG_0000000001,2011,FRA,Both sexes,3.52528
MDG_0000000001,2011,FRA,Male,3.87298
MDG_0000000001,2009,FRA,Female,3.18196
MDG_0000000001,2008,FRA,Both sexes,3.59908
MDG_0000000001,2006,FRA,Female,3.26506
MDG_0000000001,2005,FRA,Both sexes,3.78358
MDG_0000000001,2003,FRA,Female,3.56073
MDG_0000000001,2002,FRA,Both sexes,4.18547
MDG_0000000001,2001,FRA,Male,4.81398
MDG_0000000001,2000,FRA,Female,3.88254
MDG_0000000001,1999,FRA,Both sexes,4.53340
MDG_0000000001,1998,FRA,Male,5.20234
MDG_0000000001,1997,FRA,Female,4.19481
MDG_0000000001,1995,FRA,Male,6.02840
MDG_0000000001,1994,FRA,Female,4.94188
MDG_0000000001,1992,FRA,Both sexes,6.66000
MDG_0000000001,1992,FRA,Male,7.61928
MDG_0000000001,1991,FRA,Female,5.99857
MDG_0000000001,1989,FRA,Both sexes,7.66035
MDG_0000000001,1989,FRA,Male,8.76161
MDG_0000000001,1986,FRA,Both sexes,8.28289
MDG_0000000001,1986,FRA,Male,9.41752
MDG_0000000001,1983,FRA,Both sexes,9.12436
MDG_0000000001,1983,FRA,Male,10.35058
MDG_0000000001,1981,FRA,Female,8.37376
MDG_0000000001,1980,FRA,Both sexes,10.17003
MDG_0000000001,1978,FRA,Female,9.46394
MDG_0000000001,1977,FRA,Both sexes,11.45843
MDG_0000000001,1975,FRA,Female,10.66559
MDG_0000000001,1974,FRA,Both sexes,12.73022
MDG_0000000001,1973,FRA,Male,14.80260
MDG_0000000001,1972,FRA,Female,11.89568
MDG_0000000001,1970,FRA,Male,16.95561
MDG_0000000001,1969,FRA,Female,13.68779
MDG_0000000001,1967,FRA,Male,19.24348
MDG_0000000001,1966,FRA,Female,15.32199
MDG_0000000001,1964,FRA,Both sexes,19.33104
MDG_0000000001,1964,FRA,Male,21.83057
MDG_0000000001,1961,FRA,Both sexes,22.39515
MDG_0000000001,1961,FRA,Male,25.28249
MDG_0000000001,1958,FRA,Both sexes,26.92940
MDG_0000000001,1958,FRA,Male,30.27453
MDG_0000000001,1956,FRA,Female,26.99009
MDG_0000000001,1955,FRA,Both sexes,33.40612
MDG_0000000001,1953,FRA,Female,33.46149
MDG_0000000001,1952,FRA,Both sexes,41.39850
MDG_0000000001,1950,FRA,Female,41.52322
WHOSIS_000001,2000,FRA,Male,75.50707
WHOSIS_000001,2001,FRA,Male,75.74738
WHOSIS_000001,2002,FRA,Male,76.01443
WHOSIS_000001,2003,FRA,Male,76.11478
WHOSIS_000001,2004,FRA,Male,76.95907
WHOSIS_000001,2005,FRA,Male,76.89451
WHOSIS_000001,2006,FRA,Male,77.42674
WHOSIS_000001,2007,FRA,Male,77.69022
WHOSIS_000001,2008,FRA,Male,77.87883
WHOSIS_000001,2009,FRA,Male,78.04598
WHOSIS_000001,2010,FRA,Male,78.20197
WHOSIS_000001,2011,FRA,Male,78.63470
WHOSIS_000001,2012,FRA,Male,78.83018
WHOSIS_000001,2013,FRA,Male,79.17949
WHOSIS_000001,2014,FRA,Male,79.67302
WHOSIS_000001,2015,FRA,Male,79.82015
WHOSIS_000001,2016,FRA,Male,80.14397
WHOSIS_000001,2000,FRA,Female,82.71776
WHOSIS_000001,2001,FRA,Female,82.90169
WHOSIS_000001,2002,FRA,Female,83.00313
WHOSIS_000001,2003,FRA,Female,82.88506
WHOSIS_000001,2004,FRA,Female,83.78439
WHOSIS_000001,2005,FRA,Female,83.63136
WHOSIS_000001,2006,FRA,Female,84.06241
WHOSIS_000001,2007,FRA,Female,84.29293
WHOSIS_000001,2008,FRA,Female,84.25859
WHOSIS_000001,2009,FRA,Female,84.36204
WHOSIS_000001,2010,FRA,Female,84.51861
WHOSIS_000001,2011,FRA,Female,84.82901
WHOSIS_000001,2012,FRA,Female,84.72556
WHOSIS_000001,2013,FRA,Female,85.00038
WHOSIS_000001,2014,FRA,Female,85.38569
WHOSIS_000001,2015,FRA,Female,85.43811
WHOSIS_000001,2016,FRA,Female,85.67058
WHOSIS_000001,2000,FRA,Both sexes,79.11186
WHOSIS_000001,2001,FRA,Both sexes,79.32330
WHOSIS_000001,2002,FRA,Both sexes,79.51011
WHOSIS_000001,2003,FRA,Both sexes,79.50132
WHOSIS_000001,2004,FRA,Both sexes,80.39886
WHOSIS_000001,2005,FRA,Both sexes,80.28153
WHOSIS_000001,2006,FRA,Both sexes,80.77184
WHOSIS_000001,2007,FRA,Both sexes,81.01750
WHOSIS_000001,2008,FRA,Both sexes,81.09863
WHOSIS_000001,2009,FRA,Both sexes,81.23290
WHOSIS_000001,2010,FRA,Both sexes,81.39028
WHOSIS_000001,2011,FRA,Both sexes,81.76259
WHOSIS_000001,2012,FRA,Both sexes,81.80441
WHOSIS_000001,2013,FRA,Both sexes,82.11893
WHOSIS_000001,2014,FRA,Both sexes,82.56790
WHOSIS_000001,2015,FRA,Both sexes,82.66782
WHOSIS_000001,2016,FRA,Both sexes,82.94602
WHS7_104,1995,FRA,,2186.98068
WHS7_104,1996,FRA,,2181.34456
WHS7_104,1997,FRA,,1942.97562
WHS7_104,1998,FRA,,1977.35485
WHS7_104,1999,FRA,,1952.97294
WHS7_104,2000,FRA,,1753.80246
WHS7_104,2001,FRA,,1779.05086
WHS7_104,2002,FRA,,1988.76773
WHS7_104,2003,FRA,,2428.01072
WHS7_104,2004,FRA,,2798.44784
WHS7_104,2005,FRA,,2901.91449
WHS7_104,2006,FRA,,3005.23035
WHS7_104,2007,FRA,,3396.77720
WHS7_104,2008,FRA,,3731.41251
WHS7_104,2009,FRA,,3661.26151
WHS7_104,2010,FRA,,3552.87445
WHS7_104,2011,FRA,,3846.60326
WHS7_104,2012,FRA,,3625.57516
WHS7_104,2013,FRA,,3819.59691
WHS7_104,2014,FRA,,3878.19169
